owner,deposit_tx,withdraw_tx,deposit_block,withdraw_block,deposit_ts,withdraw_ts,days,shares,assets_in,assets_out,tx_return,tx_apy,p0,p1,share_return_hold,share_return_after_exit,share_apy_hold,share_apy_after_exit,gap_return_pp,gap_apy_pp,deposit_utc,withdraw_utc,tx_return_pct,tx_apy_pct,share_return_hold_pct,share_return_after_exit_pct,share_apy_hold_pct,share_apy_after_exit_pct,sample
0xd7366aD30b93f1c6B28dccD273dF63C173A7FE3c,7e40ff069af6e8400890397d0581cdc586ebfe7410b7c7fd0cae472419d0f8c2,68408a9f0ed0007547393d7cca6ce4a92dcdcc7902b1fc93c33809eccb6220a9,25063191,25071802,1778397971,1778501747,1.201111111111111,3.521803282018232,4.250554890185923,4.24842961274083,-0.000500000000000056,-0.1410845071492517,1.2069256996518176,1.2069256996518176,0.0,-0.0004999999999999449,0.0,-0.14108450714922272,-1.1102230246251565e-14,-2.8976820942716586e-12,2026-05-10T07:26:11+00:00,2026-05-11T12:15:47+00:00,-0.050000000000005596,-14.10845071492517,0.0,-0.04999999999999449,0.0,-14.108450714922272,clean_full
0x98E59fCAFA8ed5A288A74D03D144d3FB42ADFb64,f236a9bd5757a84b594dedc57a1f6bd2b30b819433b900e095fcace3071af582,4a04685b17facb1f29eafd504e1f63ae1a1c1421838d96f0f0742bc7d71e1040,25081264,25127452,1778615723,1779171899,6.437222222222222,6.687092897786491,8.070824274297662,8.067947658923046,-0.0003564215099783885,-0.02002387780855941,1.2069256996518176,1.2070990749089705,0.00014365031517926674,-0.0003564215099782775,0.0081834815063897,-0.020023877808553192,-1.1102230246251565e-14,-6.217248937900877e-13,2026-05-12T19:55:23+00:00,2026-05-19T06:24:59+00:00,-0.03564215099783885,-2.002387780855941,0.014365031517926674,-0.03564215099782775,0.81834815063897,-2.002387780855319,clean_full
0xc6ECC3477d51E0477cb31612446b9F34f6AC0B88,cbefc18df5854780c373062f6a92b8657e70b1a0369f0630aab26577e168e76d,9c4def3616031b2a27f67e31933cc7452f71b6d2ff22f2637c9f888da4632602,25085273,25136483,1778663927,1779280535,7.136666666666667,1.6571028362201368,2.0,1.9996448359269618,-0.000177582036519075,-0.009048158051134347,1.2069256996518176,1.207315028842568,0.0003225792531078575,-0.00017758203651863091,0.016643724906278967,-0.00904815805111181,-4.440892098500626e-14,-2.2537527399890678e-12,2026-05-13T09:18:47+00:00,2026-05-20T12:35:35+00:00,-0.0177582036519075,-0.9048158051134347,0.03225792531078575,-0.01775820365186309,1.6643724906278967,-0.904815805111181,clean_full
0x854Eb90E487dDc7Cc7Ac715273A78778d5701F19,9a06f109860a7d2ed590e8004b07bbf8d6b2856db67bc574e8d6190a01ee7f6c,a8c020fc4098bf2c1b73c51a06755a4d1140bb2ba7252013685e6d52c3870bf9,25085440,25136517,1778665955,1779280943,7.117916666666667,3.7284068807215043,4.499910083101454,4.499110979904744,-0.00017758203651896398,-0.009071884248098239,1.2069256996518176,1.207315028842568,0.0003225792531078575,-0.00017758203651863091,0.016687931576682136,-0.009071884248081252,-3.3306690738754696e-14,-1.6986412276764895e-12,2026-05-13T09:52:35+00:00,2026-05-20T12:42:23+00:00,-0.017758203651896398,-0.9071884248098239,0.03225792531078575,-0.01775820365186309,1.6687931576682136,-0.9071884248081252,clean_full
0xe4688Bad867D4502deabE493840F73A5cfC95011,bec7e0095ce3159306c184e852ab1cecd2837ce3ea82e2fd05b0bfee3e6a94ec,94960b5f5f5e8574c1d736ee3184f43ea55b5629e40387657465bd9d4f616e6b,25127365,25144832,1779170855,1779381047,2.432777777777778,8.285668501767269,10.001622783485665,9.999531627911733,-0.00020908162797195207,-0.030906493820980763,1.2070990749089705,1.2074504178782042,0.00029106390397992676,-0.0002090816279720631,0.044661707404747286,-0.03090649382099686,1.1102230246251565e-14,1.609823385706477e-12,2026-05-19T06:07:35+00:00,2026-05-21T16:30:47+00:00,-0.020908162797195207,-3.0906493820980763,0.029106390397992676,-0.02090816279720631,4.466170740474729,-3.090649382099686,clean_full
0x28F232C8D3A882c38524add0De23463e4Af492dB,19d896b13ce8c0097fdeac290922ade2b28475c341b934c1442a9f4cc5bc2e2f,8169f4e2395470d7a4c79f8577e3478cc90aa91e4fbae0e1de27da52d6b4cc54,25129371,25151681,1779194939,1779463523,3.108611111111111,0.00012605624171879715,0.00015218008858629642,0.00015214792386185333,-0.00021135961177243257,-0.02453068640817979,1.2072396139318164,1.2075882463588792,0.0002887847806181121,-0.0002113596117720995,0.03450827432721426,-0.0245306864081416,-3.3306690738754696e-14,-3.8191672047105385e-12,2026-05-19T12:48:59+00:00,2026-05-22T15:25:23+00:00,-0.021135961177243257,-2.453068640817979,0.028878478061811208,-0.02113596117720995,3.450827432721426,-2.45306864081416,clean_full
0x63D4f884D0Af7683BBDA2093aBea86284e6333A8,56c461a3d228901a13abf75a4f5506eb90b14c78bde1ac5fc92f91e3291d989f,d03efb3d11100f1cc2740131eac69b3b7c74dcc5b70beb159e5899f832d14403,25157934,25179716,1779538799,1779801191,3.0369444444444444,1.6562266709402291,2.0000398611335157,1.999829555350636,-0.00010515079572492869,-0.012567398902339488,1.2075882463588792,1.2080653001439385,0.0003950467276390146,-0.00010515079572470665,0.04864877802206169,-0.012567398902313065,-2.220446049250313e-14,-2.6423307986078726e-12,2026-05-23T12:19:59+00:00,2026-05-26T13:13:11+00:00,-0.01051507957249287,-1.2567398902339488,0.03950467276390146,-0.010515079572470665,4.864877802206169,-1.2567398902313065,clean_full
0x2A635CfE21b71b66C4f23F69CF1216bD30552B4F,865d2c28fdf111c92bf80e922880d76d6e35c1fd5adfdb1c3b282c08c3f6cd7f,26d89ec13d584032ec67f7cfd5009935dda88afd786154578332e70637b8a785,25144626,25201339,1779378575,1780061531,7.904583333333333,0.3644237671692334,0.4400236299532403,0.44019656374129723,0.0003930102300990779,0.018322230741184775,1.2074504178782042,1.208529222856196,0.0008934569585783425,0.0003930102300990779,0.042129132926488566,0.018322230741184775,0.0,0.0,2026-05-21T15:49:35+00:00,2026-05-29T13:32:11+00:00,0.03930102300990779,1.8322230741184775,0.08934569585783425,0.03930102300990779,4.212913292648857,1.8322230741184775,clean_full
0xA6Ae260E60B39dbfDdC1eB4b73f6F17F538DC6BA,64308696169167467c8126e503590e5c9955b693731c03465ec7ac4e6d558f1c,6844d7dad9354f016ff9c2ea906a9ddf33536a4f0bfa1c333ea4ce37fa597cc5,25127904,25206783,1779177323,1780127171,10.993611111111111,77.05300634166075,93.01061267397372,93.07424946788439,0.0006841885251709368,0.02298374655336821,1.2070990749089705,1.208529222856196,0.0011847809156289024,0.0006841885251711588,0.04012372690138011,0.02298374655337576,-2.220446049250313e-14,-7.549516567451064e-13,2026-05-19T07:55:23+00:00,2026-05-30T07:46:11+00:00,0.06841885251709368,2.298374655336821,0.11847809156289024,0.06841885251711588,4.012372690138011,2.298374655337576,clean_full
0x5Ad696000e0A85f65a5Ab530C5975838aac16D25,008b553cb4d88d192f9bfd820eff69a3f712b204a3f566820a7480d2c9dfaf11,640c2138f8ed74f0b0aa9c1569a8001f7d6d3f08899b792c56c6672026727ff4,25145981,25210735,1779394883,1780174823,9.027083333333334,9.524668878021203,11.500565416918224,11.506398801541561,0.0005072258981941857,0.02072989530290359,1.2074504178782042,1.208667201601738,0.0010077297630755044,0.0005072258981939637,0.041595634573242446,0.020729895302894263,2.220446049250313e-14,9.325873406851315e-13,2026-05-21T20:21:23+00:00,2026-05-30T21:00:23+00:00,0.05072258981941857,2.072989530290359,0.10077297630755044,0.05072258981939637,4.159563457324245,2.0729895302894263,clean_full
0x90b02d0c901eFa3f9061e660f6A72341d077A291,329725cf8686654f2d87358008386b3bf6244143a16aa315ba3025b748a9cf04,b4835c0152be443fb7913ba5c467af28779cc220e039fdf6ac080bca0661e64a,25145993,25210754,1779395027,1780175051,9.028055555555556,6.190666104566722,7.474922374903524,7.478713849119063,0.0005072258981937416,0.020727639943533438,1.2074504178782042,1.208667201601738,0.0010077297630755044,0.0005072258981939637,0.041591063295139064,0.020727639943542542,-2.220446049250313e-14,-9.103828801926284e-13,2026-05-21T20:23:47+00:00,2026-05-30T21:04:11+00:00,0.050722589819374164,2.072763994353344,0.10077297630755044,0.05072258981939637,4.159106329513906,2.072763994354254,clean_full
0xa8e878C77B4ddd628408fCC7E1D34a3C47a0d10e,653b9028798f91107e2d8099f8c8507915489d782e6cdb61ed2c52c7a980305c,ba54f70ff442de414e689d7ab21d8c8193331ed8f07e441fe452e4497baafe4d,25177894,25215388,1779779267,1780230947,5.227777777777778,44.20150183574101,53.39111455702279,53.40232231330384,0.00020991800553415985,0.01477289254558678,1.2079027259171347,1.2087606667816289,0.0007102731421049224,0.0002099180055339378,0.05085818970932299,0.014772892545571015,2.220446049250313e-14,1.5765166949677223e-12,2026-05-26T07:07:47+00:00,2026-05-31T12:35:47+00:00,0.020991800553415985,1.477289254558678,0.07102731421049224,0.02099180055339378,5.085818970932299,1.4772892545571015,clean_full
